County,Accepted Ballots
ADAMS,9313
ALLEGHENY,144149
ARMSTRONG,3433
BEAVER,13682
BEDFORD,2569
BERKS,21938
BLAIR,7928
BRADFORD,3276
BUCKS,73405
BUTLER,15104
CAMBRIA,9136
CAMERON,377
CARBON,4344
CENTRE,12643
CHESTER,49553
CLARION,1965
CLEARFIELD,4249
CLINTON,2027
COLUMBIA,3597
CRAWFORD,5462
CUMBERLAND,24597
DAUPHIN,23002
DELAWARE,45516
ELK,1961
ERIE,22497
FAYETTE,8281
FOREST,424
FRANKLIN,9725
FULTON,532
GREENE,2192
HUNTINGDON,2188
INDIANA,5613
JEFFERSON,2095
JUNIATA,1117
LACKAWANNA,18799
LANCASTER,38468
LAWRENCE,6343
LEBANON,8289
LEHIGH,28041
LUZERNE,22128
LYCOMING,5796
McKEAN,1899
MERCER,7264
MIFFLIN,2413
MONROE,12661
MONTGOMERY,94768
MONTOUR,1501
NORTHAMPTON,32645
NORTHUMBERLAND,4364
PERRY,2605
PHILADELPHIA,105026
PIKE,6426
POTTER,845
SCHUYLKILL,7891
SNYDER,2068
SOMERSET,3972
SULLIVAN,490
SUSQUEHANNA,2726
TIOGA,2179
UNION,2584
VENANGO,3326
WARREN,2552
WASHINGTON,17036
WAYNE,4285
WESTMORELAND,31474
WYOMING,1917
YORK,33135
